num_pages_with_shareholder_proposal,Filename,Date Filed,CIK,Form Type,Company Name,pattern_type,occurrence_begin,occurrence_end,diversity
11,edgar/data/1545158/0001193125-14-099353.txt,2014-03-14,1545158,DEF 14A,"Kraft Foods Group, Inc.",With resolved,"proposal 9: shareholder proposal laudatory resolution supporting certain animal welfare actions the ","e, or refrain from taking, any specific action. the board recommends that you vote for this proposal",0
7,edgar/data/1578845/0001308179-14-000110.txt,2014-03-28,1578845,DEF 14A,Actavis plc,Without resolved,proposal no. 2 advisory vote on the compensation of our named executive officers say on pay vote bac,cussion set forth in this proxy statement. actavis 2014 proxy statement 53 back to contents proposal,0
7,edgar/data/1578845/0001308179-14-000110.txt,2014-03-28,1578845,DEF 14A,Actavis plc,Without resolved,proposal no. 4 sustainability reporting a shareholder has informed the company he intends to present,ation the board of directors recommends that shareholders vote against the adoption of this proposal,0
7,edgar/data/1578845/0001308179-14-000110.txt,2014-03-28,1578845,DEF 14A,Actavis plc,Without resolved,proposal. our previously submitted reports are currently accessible by the cdp s 722 institutional i,should be rejected. the board unanimously recommends that you vote against this shareholder proposal,0
8,edgar/data/200406/0001193125-14-094846.txt,2014-03-12,200406,DEF 14A,JOHNSON & JOHNSON,With resolved,"proposal has been submitted to the company for action at the meeting by kenneth steiner, 14 stoner a"," shareholder proposal the board of directors recommends a vote against the adoption of this proposal",0
9,edgar/data/20171/0001193125-14-100076.txt,2014-03-14,20171,DEF 14A,CHUBB CORP,With resolved,proposal 4 advisory vote on executive compensation in accordance with the dodd frank wall street ref,rn a signed and dated voting instruction card without marking any voting selection for this proposal,0
9,edgar/data/20286/0001144204-14-014046.txt,2014-03-07,20286,DEF 14A,CINCINNATI FINANCIAL CORP,Without resolved,"proposal to approve compensation for the company s named executive officers; 4.voting to re approve ",re approving performance objectives for incentive compensation plan page 28 for shareholder proposal,0
9,edgar/data/20286/0001144204-14-014046.txt,2014-03-07,20286,DEF 14A,CINCINNATI FINANCIAL CORP,Without resolved,"proposal on executive compensation is not intended to address any specific element of compensation; ",ving the compensation of our named executive officers as disclosed in this proxy statement. proposal,0
9,edgar/data/20286/0001144204-14-014046.txt,2014-03-07,20286,DEF 14A,CINCINNATI FINANCIAL CORP,Without resolved,"proposal relates only to re approval of the performance goals under the plan, it will not result in ",t on the voting for this proposal. page 29 the board of directors recommends a vote for the proposal,0
9,edgar/data/20286/0001144204-14-014046.txt,2014-03-07,20286,DEF 14A,CINCINNATI FINANCIAL CORP,Without resolved,"proposal 5 shareholder proposal requesting majority voting we have been notified that a shareholder ",provided by the proponent. the board of directors recommends a vote against the shareholder proposal,0
9,edgar/data/20286/0001144204-14-014046.txt,2014-03-07,20286,DEF 14A,CINCINNATI FINANCIAL CORP,Without resolved,proposal we agree with the proponent that shareholders benefit from good corporate governance. while,"ter careful consideration, the board recommends a vote against adoption of this shareholder proposal",0
9,edgar/data/20286/0001144204-14-014046.txt,2014-03-07,20286,DEF 14A,CINCINNATI FINANCIAL CORP,Without resolved,"proposal could produce unintended consequences. there is potential for undesirable effects, for exam",oposal is required for approval. votes to abstain have the same effect as votes against the proposal,0
7,edgar/data/20740/0001174947-14-000030.txt,2014-02-20,20740,DEF 14A,CLARCOR INC.,Without resolved,"proposal. as noted earlier in this proxy statement, broker non votes will not affect the outcome of ",ll vote for the resolution. the board of directors recommends a vote for the resolution. 50 proposal,0
7,edgar/data/20740/0001174947-14-000030.txt,2014-02-20,20740,DEF 14A,CLARCOR INC.,Without resolved,proposal is contrary to the interests of the company and our shareholders. we believe that preparing," reasons set forth above, the board of directors recommends a vote against this shareholder proposal",0
7,edgar/data/20740/0001174947-14-000030.txt,2014-02-20,20740,DEF 14A,CLARCOR INC.,Without resolved,proposals the board recommends a vote for all nominees; for proposals 2 and 3; against proposal 4; a," compensation, for the approval of the 2014 clarcor incentive plan, against the shareholder proposal",0
9,edgar/data/216228/0001193125-14-122628.txt,2014-03-31,216228,DEF 14A,ITT Corp,With resolved,proposal for the reasons set forth following the proposal. proposal 4 executives to retain significa,o retain significant stock proposal 4 the board of directors recommends a vote against this proposal,0
8,edgar/data/217346/0001193125-14-085931.txt,2014-03-06,217346,DEF 14A,TEXTRON INC,With resolved,proposal and supporting statement appear as received by us. following the shareholder proposal is ou," the shareholder proposal the board of directors recommends a vote against this shareholder proposal",0
6,edgar/data/26172/0001047469-14-003126.txt,2014-03-28,26172,DEF 14A,CUMMINS INC,Without resolved,proposal exceed those cast against the proposal. abstentions and broker non votes will not affect th,g results for the ratification of pwc. our board recommends that shareholders vote for this proposal,0
6,edgar/data/26172/0001047469-14-003126.txt,2014-03-28,26172,DEF 14A,CUMMINS INC,Without resolved,"proposal regarding confidential voting item 11 on the proxy card john chevedden, 2215 nelson avenue,"," response our board of directors recommends that shareholders vote against this shareholder proposal",0
6,edgar/data/26172/0001047469-14-003126.txt,2014-03-28,26172,DEF 14A,CUMMINS INC,Without resolved,proposal purports to remedy. our management does not engage in the proxy solicitation process to fur," reasons, our board of directors recommends that shareholders vote against this shareholder proposal",0
6,edgar/data/26172/0001047469-14-003126.txt,2014-03-28,26172,DEF 14A,CUMMINS INC,Without resolved,"proposal must be delivered not later than the close of business on the 10th day following the first ",minees: 1 n. thomas linebarger the board of directors recommends you vote for the following proposal,0
6,edgar/data/26172/0001047469-14-003126.txt,2014-03-28,26172,DEF 14A,CUMMINS INC,Without resolved,"proposal to ratify the appointment of pricewaterhousecoopers llp as auditors for 2014. 4 georgia r. "," 2014. 4 georgia r. nelson the board of directors recommends you vote against the following proposal",0
9,edgar/data/277595/0001193125-14-110172.txt,2014-03-21,277595,DEF 14A,ENERGEN CORP,With resolved,"proposal the company is presenting this proposal, which gives you as a shareholder the opportunity t",d executive officers as disclosed in this proxy statement. 37 table of contents shareholder proposal,0
9,edgar/data/277948/0001308179-14-000090.txt,2014-03-26,277948,DEF 14A,CSX CORP,Without resolved,proposal 11 how do i vote 12 can i change my vote 12 will my shares be voted if i do not provide ins,ing firm for 2014 for 3. advisory vote to approve executive compensation for 4. shareholder proposal,0
9,edgar/data/277948/0001308179-14-000090.txt,2014-03-26,277948,DEF 14A,CSX CORP,Without resolved,proposal election of directors. the company s state of incorporation is virginia. as permitted under," the compensation of the company s named executive officers; and 4. against the shareholder proposal",0
9,edgar/data/277948/0001308179-14-000090.txt,2014-03-26,277948,DEF 14A,CSX CORP,Without resolved,proposal to approve the compensation of the company s named executive officers. 2014 proxy statement,ten consent proposal 4 the board unanimously recommends that shareholders vote against this proposal,0
9,edgar/data/277948/0001308179-14-000090.txt,2014-03-26,277948,DEF 14A,CSX CORP,Without resolved,"proposal to sell the company, without the knowledge or participation of a significant number of the ","efore, the board unanimously recommends that shareholders vote against the adoption of this proposal",0
7,edgar/data/29905/0001193125-14-106631.txt,2014-03-19,29905,DEF 14A,DOVER Corp,Without resolved,"proposal 4 advisory resolution to approve named executive officer compensation each year, we offer o"," indicate their support for our neo compensation as described in this proxy statement. this proposal",0
7,edgar/data/29905/0001193125-14-106631.txt,2014-03-19,29905,DEF 14A,DOVER Corp,Without resolved,"proposal, gives our shareholders the opportunity to express their views on our neos compensation. we","sation of our named executive officers, as disclosed in this proxy statement. background of proposal",0
7,edgar/data/29905/0001193125-14-106631.txt,2014-03-19,29905,DEF 14A,DOVER Corp,Without resolved,proposal 5 requires the affirmative vote of the holders of at least a majority of our outstanding co,roposal 5. abstentions and broker non votes will have the same effect as a vote against the proposal,0
7,edgar/data/29905/0001193125-14-106631.txt,2014-03-19,29905,DEF 14A,DOVER Corp,Without resolved,"proposal 5 is approved by shareholders, the board has authorized the officers of dover to file with "," has declared the advisability of proposal 5 and recommends a vote for the approval of this proposal",0
7,edgar/data/29905/0001193125-14-106631.txt,2014-03-19,29905,DEF 14A,DOVER Corp,Without resolved,proposal 6 resolution to approve amendments to article 15 of dover s restated certificate of incorpo," has declared the advisability of proposal 6 and recommends a vote for the approval of this proposal",0
7,edgar/data/29905/0001193125-14-106631.txt,2014-03-19,29905,DEF 14A,DOVER Corp,Without resolved,proposal 7 resolution to approve amendments to article 16 of dover s restated certificate of incorpo," has declared the advisability of proposal 7 and recommends a vote for the approval of this proposal",0
13,edgar/data/320193/0001193125-14-008074.txt,2014-01-10,320193,DEF 14A,APPLE INC,With resolved,proposal at the annual meeting: stockholder sic proposal regarding a report on company membership an,the company s statement in opposition to proposal no. 9 the board recommends a vote against proposal,0
13,edgar/data/320193/0001193125-14-008074.txt,2014-01-10,320193,DEF 14A,APPLE INC,With resolved,"proposal at the annual meeting on behalf of itself and icahn partners lp, icahn partners master fund",he company s statement in opposition to proposal no. 10 the board recommends a vote against proposal,0
6,edgar/data/350563/0001193125-14-094815.txt,2014-03-12,350563,DEF 14A,TECO ENERGY INC,Without resolved,"proposal, with 94 of the votes cast in favor. as discussed in greater detail in the compensation dis",ng future compensation arrangements. the board of directors recommends a vote for the above proposal,0
6,edgar/data/350563/0001193125-14-094815.txt,2014-03-12,350563,DEF 14A,TECO ENERGY INC,Without resolved,proposal is a condition to the company realizing a full federal income tax deduction for performance," appendix b to this proxy statement. the board of directors recommends a vote for the above proposal",0
6,edgar/data/350563/0001193125-14-094815.txt,2014-03-12,350563,DEF 14A,TECO ENERGY INC,Without resolved,proposal should be viewed as a guarantee that the company can deduct all compensation under the eip.," available for grant under the plan. the board of directors recommends a vote for the above proposal",0
6,edgar/data/350563/0001193125-14-094815.txt,2014-03-12,350563,DEF 14A,TECO ENERGY INC,Without resolved,"proposal, and in acknowledgment of shareholders increasing interest in companies policies and proced",est of shareholders. the board of directors unanimously recommends a vote against the above proposal,0
6,edgar/data/350563/0001193125-14-094815.txt,2014-03-12,350563,DEF 14A,TECO ENERGY INC,Without resolved,"proposals: 1. election of directors for against abstain for against abstain 1.1 james l. ferman, jr.",d. 1.5 william d. rockford the board of directors recommends you vote against the following proposal,0
8,edgar/data/35214/0001193125-14-116529.txt,2014-03-26,35214,DEF 14A,FERRO CORP,With resolved,"proposal and statement in support, which are presented in the form received from the shareholder. fo","roposal after careful consideration, the board recommends that you vote for the shareholder proposal",0
9,edgar/data/39899/0001193125-14-101161.txt,2014-03-17,39899,DEF 14A,GANNETT CO INC /DE/,With resolved,"proposal at the annual meeting. the proposal and supporting statement, for which the board of direct",sal. 58 table of contents the board of directors unanimously recommends a vote against this proposal,0
13,edgar/data/40533/0001193125-14-103696.txt,2014-03-18,40533,DEF 14A,GENERAL DYNAMICS CORP,Without resolved,proposals to be considered at the annual meeting include: the election of 12 directors from the nomi,ostponement of the meeting. the board of directors unanimously recommends that you vote for proposal,0
13,edgar/data/40533/0001193125-14-103696.txt,2014-03-18,40533,DEF 14A,GENERAL DYNAMICS CORP,Without resolved,"proposal board recommendation proposal 1: election of directors the board recommends a vote for the ",ominees. proposal 2: selection of independent auditors the board recommends a vote for this proposal,0
13,edgar/data/40533/0001193125-14-103696.txt,2014-03-18,40533,DEF 14A,GENERAL DYNAMICS CORP,Without resolved,proposal 3: advisory vote to approve executive compensation the board recommends a vote for this pro,4: shareholder proposal independent board chairman the board recommends a vote against this proposal,0
13,edgar/data/40533/0001193125-14-103696.txt,2014-03-18,40533,DEF 14A,GENERAL DYNAMICS CORP,Without resolved,proposal 2 the audit committee of the board of directors has the sole authority to retain the compan,ted above were pre approved. your board of directors unanimously recommends a vote for this proposal,0
13,edgar/data/40533/0001193125-14-103696.txt,2014-03-18,40533,DEF 14A,GENERAL DYNAMICS CORP,Without resolved,"proposal 3 as required by the dodd frank wall street reform and consumer protection act, we are seek",cutive compensation program. your board of directors unanimously recommends a vote for this proposal,0
13,edgar/data/40533/0001193125-14-103696.txt,2014-03-18,40533,DEF 14A,GENERAL DYNAMICS CORP,Without resolved,proposal would unduly constrain your board s ability to govern. your board believes that the decisio,any s risks. your board of directors unanimously recommends a vote against this shareholder proposal,0
13,edgar/data/40533/0001193125-14-103696.txt,2014-03-18,40533,DEF 14A,GENERAL DYNAMICS CORP,Without resolved,proposal seeks disclosure of company policy and procedures governing lobbying. as part of a comprehe,r resources. your board of directors unanimously recommends a vote against this shareholder proposal,0
13,edgar/data/40533/0001193125-14-103696.txt,2014-03-18,40533,DEF 14A,GENERAL DYNAMICS CORP,Without resolved,"proposals for 2015 annual meeting of shareholders if you wish to submit a proposal for inclusion in ",or against abstain for against abstain 2. selection of independent auditors. 4. shareholder proposal,0
8,edgar/data/42582/0001193125-14-099083.txt,2014-03-14,42582,DEF 14A,GOODYEAR TIRE & RUBBER CO /OH/,With resolved,"proposal item 4 on your proxy the proposal set forth below has been submitted by mr. john chevedden,",ard of directors response the board of directors unanimously recommends a vote against this proposal,0
6,edgar/data/4281/0001193125-14-102971.txt,2014-03-18,4281,DEF 14A,ALCOA INC,With resolved,proposal will be voted on at the annual meeting if properly presented by or on behalf of the shareho,st interests of our shareholders. your board therefore recommends that you vote against the proposal,0
15,edgar/data/4962/0001193125-14-109894.txt,2014-03-21,4962,DEF 14A,AMERICAN EXPRESS CO,With resolved,proposal. 74 table of contents item 6 shareholder proposal relating to action by written consent myr,posal 6 board of directors statement in opposition the board recommends a vote against this proposal,0
15,edgar/data/4962/0001193125-14-109894.txt,2014-03-21,4962,DEF 14A,AMERICAN EXPRESS CO,With resolved,proposal. 76 table of contents item 7 shareholder proposal for executives to retain significant stoc,posal 7 board of directors statement in opposition the board recommends a vote against this proposal,0
13,edgar/data/52827/0001193125-14-122986.txt,2014-03-31,52827,DEF 14A,RAYONIER INC,With resolved,proposal provides shareholders with the opportunity to endorse or not endorse our compensation arran,ecutive compensation arrangements. the board of directors recommends that you vote for this proposal,0
13,edgar/data/52827/0001193125-14-122986.txt,2014-03-31,52827,DEF 14A,RAYONIER INC,With resolved,"proposal at the annual meeting. it has provided certification indicating that, as of december 18, 20",f ceo and board chair the board of directors recommends that shareholders vote against this proposal,0
13,edgar/data/52827/0001193125-14-122986.txt,2014-03-31,52827,DEF 14A,RAYONIER INC,With resolved,"proposal at the annual meeting. she has provided certification indicating that, as of december 11, 2",osal on managing risk the board of directors recommends that shareholders vote against this proposal,0
7,edgar/data/58492/0001571049-14-000922.txt,2014-03-25,58492,DEF 14A,LEGGETT & PLATT INC,Without resolved,"proposal requesting the addition of sexual orientation and gender identity to the company s written ","ackage, and the 2014 key officers incentive plan, and that you vote against the shareholder proposal",1
7,edgar/data/58492/0001571049-14-000922.txt,2014-03-25,58492,DEF 14A,LEGGETT & PLATT INC,Without resolved,proposal three: advisory vote to approve named executive officer compensation pursuant to section 14,ends that you vote for the company s executive compensation package. 20 table of contents 4 proposal,0
7,edgar/data/58492/0001571049-14-000922.txt,2014-03-25,58492,DEF 14A,LEGGETT & PLATT INC,Without resolved,proposals at the company s last eight annual meetings. we believe this consistent rejection by share,rimination policy. the board of directors recommends that you vote against this shareholder proposal,0
8,edgar/data/64040/0001193125-14-105562.txt,2014-03-19,64040,DEF 14A,MCGRAW HILL FINANCIAL INC,Without resolved,"proposal to approve, on an advisory basis, the executive compensation program for the company s name",mpanying proxy to be voted for this item. 74 2014 proxy statement table of contents item 3. proposal,0
8,edgar/data/64040/0001193125-14-105562.txt,2014-03-19,64040,DEF 14A,MCGRAW HILL FINANCIAL INC,Without resolved,"proposal shareholder action by written consent kenneth steiner has given notice that he, or his desi","10020 1095, telephone number 212 512 2000. your board recommends that you vote against this proposal",0
8,edgar/data/64040/0001193125-14-105562.txt,2014-03-19,64040,DEF 14A,MCGRAW HILL FINANCIAL INC,Without resolved,"proposal, on the other hand, would make it possible for the holders of a bare majority of the shares"," directors recommendation the board of directors recommends a vote against this shareholder proposal",0
12,edgar/data/69499/0001193125-14-091787.txt,2014-03-10,69499,DEF 14A,MYLAN INC.,With resolved,"proposal, gives shareholders the opportunity to express their views on the neos compensation. given ",nt to the compensation disclosure rules of the sec. 52 table of contents item 4 shareholder proposal,0
9,edgar/data/715957/0001193125-14-116473.txt,2014-03-26,715957,DEF 14A,DOMINION RESOURCES INC /VA/,With resolved,proposals for the reasons set forth in each opposing statement. item 5 executives to retain signific,ts opposing statement the board of directors recommends that shareholders vote against this proposal,0
7,edgar/data/732712/0001193125-14-102273.txt,2014-03-17,732712,DEF 14A,VERIZON COMMUNICATIONS INC,With resolved,proposal is not in the best interests of verizon and its shareholders. 25 table of contents item 8 o,shareowner meetings proposal 8 the board of directors recommends that you vote against this proposal,0
8,edgar/data/74303/0001193125-14-077987.txt,2014-03-03,74303,DEF 14A,OLIN CORP,With resolved,"proposal, commonly known as a say on pay proposal, is required under section 14a of the securities e",specified. the board of directors recommends a vote for approval of this resolution. item 4 proposal,0
8,edgar/data/74303/0001193125-14-077987.txt,2014-03-03,74303,DEF 14A,OLIN CORP,With resolved,proposal regarding disclosure of lobbying and political spending amalgamated bank s midcap 400 index,older proposal our board of directors unanimously recommends a vote against the shareholder proposal,0
11,edgar/data/77476/0001193125-14-110415.txt,2014-03-21,77476,DEF 14A,PEPSICO INC,With resolved,proposals proxy item nos. 5 and 6 continued policy regarding executive retention of stock proxy item,"y stock. accordingly, the board of directors recommends that shareholders vote against this proposal",0
12,edgar/data/78128/0001206774-14-001034.txt,2014-03-27,78128,DEF 14A,AQUA AMERICA INC,With resolved,"proposal, submitted the shareholder proposal set forth below. the fund s shareholder proposal and su","s set forth below, the board recommends that the shareholders vote against this shareholder proposal",0
12,edgar/data/78890/0001193125-14-100162.txt,2014-03-14,78890,DEF 14A,BRINKS CO,With resolved,"proposal and the supporting statement, including sources referenced in the supporting statement. for","ors on an annual basis. accordingly, our board unanimously recommends that you vote against proposal",0
15,edgar/data/790070/0000790070-14-000044.txt,2014-03-21,790070,DEF 14A,EMC CORP,With resolved,"proposal. the address of the shareholder is 9295 yorkship court, elk grove, ca 95758. the shareholde",ement in opposition to shareholder proposalthe board of directors recommends a vote against proposal,0
10,edgar/data/793952/0000793952-14-000009.txt,2014-03-17,793952,DEF 14A,HARLEY DAVIDSON INC,With resolved,"proposal. the shareholder proposal and supporting statement, for which the board and the company acc","_for the reasons stated below, the board of directors unanimously recommends a vote against proposal",0
9,edgar/data/79879/0000079879-14-000012.txt,2014-03-06,79879,DEF 14A,PPG INDUSTRIES INC,Without resolved,"proposal to adopt a policy requiring an independent board chairman, if properly presented; and6.to t",vote my shares 2what are my choices when voting 2how do i vote 2what vote is needed for the proposal,0
9,edgar/data/79879/0000079879-14-000012.txt,2014-03-06,79879,DEF 14A,PPG INDUSTRIES INC,Without resolved,proposal 2: nonbinding vote on approval of compensation of named executive officers52 pageproposal 3,"s follows: proposal 1: for the election of three directors, each for a term of three years; proposal",0
9,edgar/data/79879/0000079879-14-000012.txt,2014-03-06,79879,DEF 14A,PPG INDUSTRIES INC,Without resolved,"proposal. however, the officers directors compensation committee will carefully consider the outcome",ecompensation of the company s named executive officersas described in this proxy statement.proposal,0
9,edgar/data/79879/0000079879-14-000012.txt,2014-03-06,79879,DEF 14A,PPG INDUSTRIES INC,Without resolved,proposal to amend ppg s articles of incorporation to replace the supermajority voting requirementspp,.the board last year recommended that shareholders vote against the non binding shareholder proposal,0
9,edgar/data/79879/0000079879-14-000012.txt,2014-03-06,79879,DEF 14A,PPG INDUSTRIES INC,Without resolved,proposals. any pre approval decisions made by the chair must be communicated to the full committee a," of pricewaterhousecoopers llp as our independentregistered public accounting firm for 2014.proposal",0
9,edgar/data/79879/0000079879-14-000012.txt,2014-03-06,79879,DEF 14A,PPG INDUSTRIES INC,Without resolved,"proposal. according to the spencer stuart u.s. board index 2013, 75 of s p 500 companies do not have"," at the annual meeting.the board recommends that shareholders vote against this shareholder proposal",0
9,edgar/data/822416/0001193125-14-118501.txt,2014-03-27,822416,DEF 14A,PULTEGROUP INC/MI/,With resolved,proposal gives our shareholders the opportunity to express their views on the overall compensation o,g to the compensation of our named executive officers as disclosed in this proxy statement. proposal,0
9,edgar/data/822416/0001193125-14-118501.txt,2014-03-27,822416,DEF 14A,PULTEGROUP INC/MI/,With resolved,"proposal. proposal five the central laborers pension fund, p.o. box 1267, jacksonville, illinois 626"," compensation reform. the board of directors recommends that shareholders vote against this proposal",0
8,edgar/data/827052/0001206774-14-000881.txt,2014-03-14,827052,DEF 14A,EDISON INTERNATIONAL,With resolved,"proposal is included below as submitted by the proponent, and has not been endorsed or verified by e"," an independent director item 4 on your proxy card and recommends that you vote against the proposal",0
